Front,Back,Tags
"To A ___ long as used for school" creates,Fee simple determinable (automatic termination),[Estates]
"To A, ___ if used for business" creates,Fee simple subject to condition subsequent (manual reentry),[Estates]
"To A, provided that ___ sold to B" creates,Executory limitation (automatic to third party),[Estates]
Life estate pur autre vie measured by ___ life,Another person's (not grantor's),[Estates]
Rule against perpetuities: interest must vest within ___ years,21 years after life in being,[Estates]
Contingent remainder vs executory interest: remainder benefits ___ party,Third (not grantor),[Estates]
Shifting executory benefits ___ grantor,Original grantor (springing benefits grantor),[Estates]
Words of inheritance ___ required for fee simple,"Are not" (to A and heirs),[Estates]
Possibility of reverter follows ___ determinable,Fee simple determinable,[Estates]
Right of reentry follows fee simple ___ condition subsequent,Subject to condition subsequent,[Estates]
Bona fide purchaser needs value + good faith + ___ notice,No (actual, constructive, inquiry),[Recording]
Race statute: ___ to record wins,First (no notice inquiry),[Recording]
Notice statute: ___ without notice wins,Bona fide purchaser,[Recording]
Race-notice statute: first to record ___ notice,Without (majority rule),[Recording]
Chain of title doctrine requires examining ___ chain,Entire (unrecorded links break notice),[Recording]
Wild deed is ___ delivered,Not (doesn't provide constructive notice),[Recording]
Inquiry notice requires ___ investigation,Reasonable (recorded documents + facts),[Recording]
Easement appurtenant ___ with land,Runs (benefits dominant estate),[Easements]
Easement in gross ___ with land,Does not run (personal to holder),[Easements]
___ is revocable permission,License (not property interest),[Easements]
Prescriptive easement requires ___ elements,HATE (hostile, actual, exclusive, continuous),[Easements]
Easement by necessity requires ___ necessity,Strict (landlocked parcel),[Easements]
Implied easement by prior use requires ___ use,Existing (at severance),[Easements]
Easement termination: merger of ___ estates,Title (same person owns both),[Easements]
Abandonment requires non-use + ___ to abandon,Intent (affirmative acts help),[Easements]
Real covenant provides ___ damages,Money (legal remedy),[Servitudes]
Equitable servitude provides ___ relief,Injunctive (equitable remedy),[Servitudes]
Real covenants require ___ privity,Vertical (successive landowners),[Servitudes]
Equitable servitudes ___ privity required,No (notice sufficient),[Servitudes]
Covenant must ___ and concern the land,Touch (affect land use/value),[Servitudes]
Notice for servitudes can be ___ knowledge,Actual (substitutes for recording),[Servitudes]
Joint tenancy requires ___ unities,4 (time, title, interest, possession),[Concurrent]
Tenancy in common has ___ survivorship,No right of (partition available),[Concurrent]
Tenancy by entirety requires ___ marriage,Valid (and 4 unities),[Concurrent]
Severance of joint tenancy by ___ conveyance,Any (conveyance, mortgage, partition),[Concurrent]
Presumption when unities ___ missing,Are (favor tenancy in common),[Concurrent]
Partition ___ kind preferred,In (physical division),[Concurrent]
Landlord must maintain ___ premises,Habitable (implied warranty),[LL-T]
Quiet enjoyment warranty is ___ implied,Always (in lease),[LL-T]
Retaliatory eviction for ___ complaints illegal,Tenant's (code violations, repairs),[LL-T]
Constructive eviction requires landlord to make premises ___ ,Uninhabitable (or deny access),[LL-T]
Self-help eviction (changing locks) is ___ illegal,Always (tenant rights),[LL-T]
Repair and deduct requires ___ rent payment first,Some (reasonable amount),[LL-T]
Purchase money mortgage has ___ priority,Super (beats all subsequent liens),[Mortgages]
Foreclosure ___ mortgagor's equity of redemption,Terminates (clean slate),[Mortgages]
Mortgage ___ title transfer,Does not (security interest only),[Mortgages]
Deed of trust uses ___ for foreclosure,Trustee (non-judicial),[Mortgages]
Due-on-sale clause triggered by ___ transfer,Any ownership (not just sale),[Mortgages]
Junior liens ___ survive foreclosure,May (if not merged),[Mortgages]
Adverse possession requires HATE: hostile, actual, ___ ,Exclusive (no sharing),[AP]
Color of title reduces period to ___ years,7 (written claim),[AP]
Tacking allows combining time if ___ estate,Privity of (successive possessors),[AP]
AP against government ___ allowed,Is not (sovereign immunity),[AP]
Disabilities ___ statute,Toll the (minority, insanity),[AP]
Hostile means without ___ permission,Owner's (not ill will),[AP]
Fixtures: ___ test (fastened, intent, extent),FIX (attachment test),[Fixtures]
Trade fixtures remain ___ property,Personal (removable by tenant),[Fixtures]
Intent to ___ controls fixture status,Permanently improve,[Fixtures]
Mortgagee rights to fixtures attached during ___ term,Mortgage (become security),[Fixtures]
Agricultural fixtures may have ___ rules,Special (removal rights),[Fixtures]
Building materials become fixtures when ___ ,Incorporated (into structure),[Fixtures]
Zoning regulates land ___ use,Comprehensive (police power),[Zoning]
Spot zoning ___ valid,Not (single parcel exception),[Zoning]
Variance requires proving ___ hardship,Unique (not convenience),[Zoning]
Physical taking requires ___ compensation,Just (always),[Zoning]
Regulatory taking if ___ diminution,Substantial (value reduction),[Zoning]
Nollan/Dolan requires ___ nexus,Essential (between exaction and impact),[Zoning]
Eminent domain for ___ purpose,Public (just compensation),[Zoning]
Temporary takings require ___ compensation,Just (even brief),[Zoning]
Deed validity requires ___ acceptance,Delivery and (intent to convey),[Conveyancing]
Seal ___ required in most states,Not (no longer),[Conveyancing]
Mental capacity ___ required for deed,Not (unlike will),[Conveyancing]
Consideration ___ required for deed,Not (gift deeds valid),[Conveyancing]
After-acquired title ___ deed validity,Does not affect (estoppel),[Conveyancing]
Covenant of quiet enjoyment broken if ___ interferes with possession,Third party (not landlord),[Conveyancing]
Marketable title requires ___ defects,No title (within statutory period),[Conveyancing]
Warranty deed provides ___ covenants,6 (seisin, quiet enjoyment, etc.),[Conveyancing]
Quitclaim deed provides ___ warranties,No (only what grantor has),[Conveyancing]
Covenant of warranty protects against ___ defects,All title (not just grantor's),[Conveyancing]
